M8ZEtobicoke(Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West);M8Z;Etobicoke;Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West
M9AEtobicoke(Islington Avenue);M9A;Etobicoke;Islington Avenue
M9BEtobicoke(West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale);M9B;Etobicoke;West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale
M9CEtobicoke(Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood);M9C;Etobicoke;Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood
M9LNorth York(Humber Summit);M9L;North York;Humber Summit
M9MNorth York(Humberlea / Emery);M9M;North York;Humberlea, Emery
M9NYork(Weston);M9N;York;Weston
M9PEtobicoke(Westmount);M9P;Etobicoke;Westmount
M9REtobicoke(Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens);M9R;Etobicoke;Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens
M9VEtobicoke(South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens);M9V;Etobicoke;South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens
M9WEtobicokeNorthwest(Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale);M9W;EtobicokeNorthwest;Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale
