M5RCentral Toronto(The Annex / North Midtown / Yorkville);M5R;Central Toronto;The Annex, North Midtown, Yorkville
M5SDowntown Toronto(University of Toronto / Harbord);M5S;Downtown Toronto;University of Toronto, Harbord
M5TDowntown Toronto(Kensington Market / Chinatown / Grange Park);M5T;Downtown Toronto;Kensington Market, Chinatown, Grange Park
M5VDowntown Toronto(CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport);M5V;Downtown Toronto;CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport
M5WDowntown TorontoStn A PO Boxes25 The Esplanade(Enclave of M5E);M5W;Downtown TorontoStn A PO Boxes25 The Esplanade;Enclave of M5E
M5XDowntown Toronto(First Canadian Place / Underground city);M5X;Downtown Toronto;First Canadian Place, Underground city
M6ANorth York(Lawrence Manor / Lawrence Heights);M6A;North York;Lawrence Manor, Lawrence Heights
M6BNorth York(Glencairn);M6B;North York;Glencairn
M6CYork(Humewood-Cedarvale);M6C;York;Humewood-Cedarvale
M6EYork(Caledonia-Fairbanks);M6E;York;Caledonia-Fairbanks
M6GDowntown Toronto(Christie);M6G;Downtown Toronto;Christie
M6HWest Toronto(Dufferin / Dovercourt Village);M6H;West Toronto;Dufferin, Dovercourt Village
M6JWest Toronto(Little Portugal / Trinity);M6J;West Toronto;Little Portugal, Trinity
M6KWest Toronto(Brockton / Parkdale Village / Exhibition Place);M6K;West Toronto;Brockton, Parkdale Village, Exhibition Place
M6LNorth York(North Park / Maple Leaf Park / Upwood Park);M6L;North York;North Park, Maple Leaf Park, Upwood Park
M6MYork(Del Ray / Mount Dennis / Keelsdale and Silverthorn);M6M;York;Del Ray, Mount Dennis, Keelsdale and Silverthorn
M6NYork(Runnymede / The Junction North);M6N;York;Runnymede, The Junction North
M6PWest Toronto(High Park / The Junction South);M6P;West Toronto;High Park, The Junction South
M6RWest Toronto(Parkdale / Roncesvalles);M6R;West Toronto;Parkdale, Roncesvalles
M6SWest Toronto(Runnymede / Swansea);M6S;West Toronto;Runnymede, Swansea
M7AQueen's Park(Ontario Provincial Government);M7A;Queen's Park;Ontario Provincial Government
M7RMississaugaCanada Post Gateway Processing Centre(Enclave of L4W);M7R;MississaugaCanada Post Gateway Processing Centre;Enclave of L4W
M7YEast TorontoBusiness reply mail Processing Centre969 Eastern(Enclave of M4L);M7Y;East TorontoBusiness reply mail Processing Centre969 Eastern;Enclave of M4L
M8VEtobicoke(New Toronto / Mimico South / Humber Bay Shores);M8V;Etobicoke;New Toronto, Mimico South, Humber Bay Shores
M8WEtobicoke(Alderwood / Long Branch);M8W;Etobicoke;Alderwood, Long Branch
M8XEtobicoke(The Kingsway / Montgomery Road / Old Mill North);M8X;Etobicoke;The Kingsway, Montgomery Road, Old Mill North
M8YEtobicoke(Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East);M8Y;Etobicoke;Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East
