Postal Code;Borough;Neighborhood;Latitude;Longitude;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
M8W;Etobicoke;Alderwood, Long Branch;43.60241370000001;-79.54348409999999;3.0;Convenience Store;Pizza Place;Gas Station;Donut Shop;Skating Rink;Park;Sandwich Place;Gym;Pub;Coffee Shop
M8X;Etobicoke;The Kingsway, Montgomery Road, Old Mill North;43.653653600000005;-79.5069436;0.0;Metro Station;Breakfast Spot;Sushi Restaurant;Bank;Restaurant;River;Park;Chinese Restaurant;Dessert Shop;Bakery
M8Y;Etobicoke;Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East;43.6362579;-79.49850909999999;6.0;Gym / Fitness Center;Park;Playground;Baseball Field;Eastern European Restaurant;Dog Run;Doner Restaurant;Donut Shop;Drugstore;Dry Cleaner
M8Z;Etobicoke;Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West;43.6288408;-79.52099940000001;0.0;Gym / Fitness Center;Italian Restaurant;Sandwich Place;Automotive Shop;Bakery;Bank;Tanning Salon;Café;Liquor Store;Yoga Studio
M9A;Etobicoke;Islington Avenue;43.6678556;-79.53224240000002;6.0;Pharmacy;Shopping Mall;Skating Rink;Café;Park;Playground;Bank;Grocery Store;Distribution Center;Dive Bar
M9B;Etobicoke;West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale;43.6509432;-79.55472440000001;3.0;Pizza Place;Gym;Mexican Restaurant;Hotel;Restaurant;Convenience Store;Bank;Eastern European Restaurant;Dog Run;Doner Restaurant
M9C;Etobicoke;Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood;43.6435152;-79.57720079999999;3.0;Café;Pizza Place;Gas Station;Liquor Store;Park;Pet Store;Electronics Store;Pharmacy;Shopping Plaza;Convenience Store
M9L;North York;Humber Summit;43.7563033;-79.56596329999999;5.0;Bakery;Home Service;Pizza Place;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Drugstore;Dry Cleaner;Dumpling Restaurant
M9M;North York;Humberlea, Emery;43.7247659;-79.53224240000002;3.0;Home Service;Convenience Store;Baseball Field;Gas Station;Italian Restaurant;Discount Store;Concert Hall;Community Center;Doner Restaurant;Donut Shop
M9N;York;Weston;43.706876;-79.51818840000001;3.0;Grocery Store;Diner;Café;Convenience Store;Fried Chicken Joint;Pizza Place;Pharmacy;Yoga Studio;Dog Run;Doner Restaurant
M9P;Etobicoke;Westmount;43.696319;-79.53224240000002;3.0;Middle Eastern Restaurant;Ice Cream Shop;Supermarket;Flea Market;Discount Store;Sandwich Place;Intersection;Golf Course;Chinese Restaurant;Gas Station
M9R;Etobicoke;Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens;43.6889054;-79.55472440000001;3.0;Gas Station;American Restaurant;Supermarket;Beer Store;Bank;Sandwich Place;Intersection;Chinese Restaurant;Pharmacy;Mobile Phone Shop
M9V;Etobicoke;South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens;43.739416399999996;-79.5884369;3.0;Grocery Store;Pizza Place;Fast Food Restaurant;Beer Store;Fried Chicken Joint;Liquor Store;Auto Garage;Sandwich Place;Japanese Restaurant;Caribbean Restaurant
M9W;Etobicoke Northwest;Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale;43.706748299999994;-79.5940544;2.0;Rental Car Location;Drugstore;Yoga Studio;Eastern European Restaurant;Distribution Center;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Dry Cleaner
XXX;Manhattan;Marble Hill;40.876551;-73.91066;0.0;Pizza Place;Spanish Restaurant;Donut Shop;Sandwich Place;Mexican Restaurant;Coffee Shop;Café;Grocery Store;Gym;Pharmacy
